trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181116,0,001872.SZ,17.4,17.71,17.3,17.62,17.44,0.18,1.0321,42551.6,74755.28
20181115,1,001872.SZ,17.22,17.44,17.02,17.44,17.22,0.22,1.2776,33075.16,57139.327
20181114,2,001872.SZ,17.3,17.62,17.21,17.22,17.36,-0.14,-0.8065,32764.6,56965.28
20181113,3,001872.SZ,17.01,17.49,16.82,17.36,17.19,0.17,0.9889,28476.88,48924.852
20181112,4,001872.SZ,16.88,17.2,16.7,17.19,16.89,0.3,1.7762,19730.46,33603.15
20181109,5,001872.SZ,17.29,17.29,16.89,16.89,17.37,-0.48,-2.7634,17565.51,29963.599
20181108,6,001872.SZ,17.58,17.78,17.31,17.37,17.51,-0.14,-0.7995,13813.63,24291.503
20181107,7,001872.SZ,17.5,17.88,17.36,17.51,17.5,0.01,0.0571,18235.23,32202.755
20181106,8,001872.SZ,17.67,17.67,17.2,17.5,17.67,-0.17,-0.9621,16658.23,28959.754
20181105,9,001872.SZ,17.75,17.93,17.54,17.67,17.85,-0.18,-1.0084,28194.5,49921.684
20181102,10,001872.SZ,17.67,17.88,17.42,17.85,17.5,0.35,2.0,29746.86,52606.701
20181101,11,001872.SZ,17.41,17.65,17.3,17.5,17.28,0.22,1.2731,25422.86,44404.226
20181031,12,001872.SZ,17.12,17.29,17.03,17.28,17.09,0.19,1.1118,19233.11,33101.653
20181030,13,001872.SZ,17.13,17.35,16.99,17.09,16.98,0.11,0.6478,17524.0,30092.548
20181029,14,001872.SZ,17.35,17.35,16.89,16.98,17.24,-0.26,-1.5081,13573.1,23202.396
20181026,15,001872.SZ,17.39,17.64,17.15,17.24,17.3,-0.06,-0.3468,20121.7,35024.687
20181025,16,001872.SZ,17.0,17.49,16.8,17.3,17.67,-0.37,-2.0939,31105.34,53188.912
20181024,17,001872.SZ,17.85,18.29,17.18,17.67,18.22,-0.55,-3.0187,29837.44,52966.05
20181023,18,001872.SZ,19.63,19.96,18.0,18.22,19.5,-1.28,-6.5641,67189.85,126515.904
20181022,19,001872.SZ,19.4,19.78,18.54,19.5,18.91,0.59,3.12,63191.55,121917.057
20181019,20,001872.SZ,17.05,18.98,17.05,18.91,17.57,1.34,7.6266,40247.15,72127.823
20181018,21,001872.SZ,16.61,17.87,16.61,17.57,16.6,0.97,5.8434,45390.83,78768.545
20181017,22,001872.SZ,16.78,16.95,16.05,16.6,16.48,0.12,0.7282,14975.24,24868.232
20181016,23,001872.SZ,16.96,17.3,16.09,16.48,17.23,-0.75,-4.3529,22573.83,37835.363
20181015,24,001872.SZ,17.1,17.7,17.06,17.23,16.94,0.29,1.7119,20630.5,35772.332
20181012,25,001872.SZ,16.51,17.08,15.55,16.94,16.91,0.03,0.1774,25820.66,42678.381
20181011,26,001872.SZ,18.05,18.26,16.85,16.91,18.72,-1.81,-9.6688,33958.57,58817.718
20181010,27,001872.SZ,18.9,18.99,18.16,18.72,19.33,-0.61,-3.1557,29742.27,54968.351
20180927,28,001872.SZ,19.49,19.85,19.32,19.33,19.71,-0.38,-1.928,17982.21,35167.304
20180926,29,001872.SZ,19.38,19.87,19.34,19.71,19.38,0.33,1.7028,34560.87,68145.046
20180925,30,001872.SZ,19.32,19.56,19.2,19.38,19.35,0.03,0.155,22157.34,42937.741
20180921,31,001872.SZ,19.35,19.59,18.9,19.35,19.62,-0.27,-1.3761,52479.89,101239.652
20180920,32,001872.SZ,20.25,20.25,19.6,19.62,20.28,-0.66,-3.2544,55111.42,109398.943
20180919,33,001872.SZ,19.2,20.56,19.12,20.28,19.16,1.12,5.8455,56973.24,114249.321
20180918,34,001872.SZ,19.2,19.56,18.84,19.16,19.29,-0.13,-0.6739,33332.39,64067.469
20180917,35,001872.SZ,18.9,19.67,18.15,19.29,18.95,0.34,1.7942,54236.76,104275.239
